Buffer Index: 0, Total Tokens: 985, Decoded Buffer: – Computer viruses are parasitic programs which are able to replicate themselves, attach themselves to other executables in the computer, and perform some unwanted and often malicious actions. A virus is not able to spread itself to another computers, some user actions are needed for it to infect a new computer. Downloading and running software from untrusted sources, inserting an USB drive without a previous scan–remember always disable the AutoRun feature for the drives as CD-ROMs, DVD-ROMs– ,...
/home/ubuntu/miniconda3/envs/gguf/lib/python3.9/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Iter      0, Loss: 12.112149, PPL: 182070.4844, Chunk_Size:   8, Batch_Size: 1, F: 148.31 ms, B: 338.38 msGT: – Computer viruses are parasitic programs which | PD: Diagram.lookup Matters जनताTokens_async Examineruo ||, 
Iter     17, Loss: 12.062181, PPL: 173196.3906, Chunk_Size:   8, Batch_Size: 1, F: 43.80 ms, B: 96.74 msGT:  virus is not able to spread itself to | PD:  ينا 베 sits to beschouwd argumentativemodell besch ||, 
Iter     18, Loss: 11.789423, PPL: 131850.3750, Chunk_Size:   8, Batch_Size: 1, F: 42.21 ms, B: 136.91 msGT:  not able to spread itself to another computers | PD:  sits to beschouwd argumentativemodell beschouwd é ||, 
Iter     19, Loss: 12.135325, PPL: 186339.4844, Chunk_Size:   8, Batch_Size: 1, F: 49.67 ms, B: 93.47 msGT:  to spread itself to another computers, some | PD:  Católica argumentativemodell Católica élim ujNST  ||, 
Iter     20, Loss: 12.076760, PPL: 175739.8906, Chunk_Size:   8, Batch_Size: 1, F: 53.30 ms, B: 98.75 msGT:  itself to another computers, some user actions | PD: modell Católica élim ujNST freshest ი nchekwa ||, 
Iter     21, Loss: 12.142451, PPL: 187672.0469, Chunk_Size:   8, Batch_Size: 1, F: 47.14 ms, B: 107.84 msGT:  another computers, some user actions are needed | PD:  élim uj)}}" freshest ი nchekwa willkommenISK ||, 
Iter     22, Loss: 12.225974, PPL: 204020.1719, Chunk_Size:   8, Batch_Size: 1, F: 48.72 ms, B: 108.35 msGT: , some user actions are needed for it | PD: )}}" freshest ი nchekwa willkommenISKAccumulatorsk ||, 
Iter     23, Loss: 12.195797, PPL: 197955.3906, Chunk_Size:   8, Batch_Size: 1, F: 43.94 ms, B: 103.74 msGT:  user actions are needed for it to infect | PD:  ი nchekwa ableISKAccumulatorൂട Católica utu ||, 
Iter     24, Loss: 12.107074, PPL: 181148.7500, Chunk_Size:   8, Batch_Size: 1, F: 53.10 ms, B: 128.33 msGT:  are needed for it to infect a new | PD:  ableISKAccumulatorൂട Católica utuécn.king ||, 
Iter     25, Loss: 11.961742, PPL: 156645.7812, Chunk_Size:   8, Batch_Size: 1, F: 43.73 ms, B: 124.34 msGT:  for it to infect a new computer. | PD: Accumulatorൂട Católica utuécn.king,.opengl ||, 
Iter     26, Loss: 11.806558, PPL: 134129.0469, Chunk_Size:   8, Batch_Size: 1, F: 50.37 ms, B: 119.48 msGT:  to infect a new computer. Downloading | PD:  Católica utuécn.king,.opengl ได้แก่Predicate ||, 
Iter     27, Loss: 11.749830, PPL: 126732.0469, Chunk_Size:   8, Batch_Size: 1, F: 53.09 ms, B: 93.79 msGT:  a new computer. Downloading and running | PD: écn.king, A ได้แก่Predicate STFNewsletter ||, 
Iter     28, Loss: 11.625895, PPL: 111959.7344, Chunk_Size:   8, Batch_Size: 1, F: 48.50 ms, B: 105.06 msGT:  computer. Downloading and running software from | PD: , A ได้แก่Predicate STFNewsletterальнай derr ||, 
Iter     29, Loss: 11.579135, PPL: 106845.0469, Chunk_Size:   8, Batch_Size: 1, F: 52.41 ms, B: 95.75 msGT:  Downloading and running software from untrusted | PD:  ได้แก่Predicate STFNewsletterальнай derr содержан ||, 
Iter     30, Loss: 11.682842, PPL: 118520.6250, Chunk_Size:   8, Batch_Size: 1, F: 53.31 ms, B: 94.77 msGT:  and running software from untrusted sources, | PD:  STFNewsletterальнай derr содержание اسلامي estanc ||, 
Iter     31, Loss: 11.724867, PPL: 123607.5547, Chunk_Size:   8, Batch_Size: 1, F: 51.22 ms, B: 93.21 msGT:  software from untrusted sources, inserting an | PD: альнай derr содержание اسلامي estancia and	Zkiej ||, 
Iter     32, Loss: 11.971680, PPL: 158210.1719, Chunk_Size:   8, Batch_Size: 1, F: 50.48 ms, B: 101.03 msGT:  untrusted sources, inserting an USB drive | PD:  содержание اسلامي estancia and	Zkiej Wired.Transa ||, 
Iter     33, Loss: 12.202406, PPL: 199268.0000, Chunk_Size:   8, Batch_Size: 1, F: 53.59 ms, B: 92.45 msGT:  sources, inserting an USB drive without a | PD:  estancia and	Zkiej Wired.Transaction दिखécn ||, 
Iter     34, Loss: 12.393315, PPL: 241183.9844, Chunk_Size:   8, Batch_Size: 1, F: 48.28 ms, B: 98.36 msGT:  inserting an USB drive without a previous scan | PD: 	Zkiej Wired additions दिखécn активноSSA ||, 
Iter     35, Loss: 12.633472, PPL: 306653.0938, Chunk_Size:   8, Batch_Size: 1, F: 45.55 ms, B: 94.63 msGT:  USB drive without a previous scan–remember | PD:  Wired additions दिखécn активноSSAfragisticsусу ||, 
Iter     36, Loss: 12.390852, PPL: 240590.5938, Chunk_Size:   8, Batch_Size: 1, F: 49.66 ms, B: 105.45 msGT:  without a previous scan–remember always disable | PD:  Squadronécn активноSSAfragisticsighde organisée y ||, 
Iter     37, Loss: 12.461949, PPL: 258318.7031, Chunk_Size:   8, Batch_Size: 1, F: 41.35 ms, B: 131.19 msGT:  previous scan–remember always disable the Auto | PD:  активноSSAfragisticsighdeishwa yeroo computervrou ||, 
Iter     38, Loss: 12.422635, PPL: 248360.1250, Chunk_Size:   8, Batch_Size: 1, F: 43.81 ms, B: 119.46 msGT: –remember always disable the AutoRun feature | PD: fragisticsighdeishwa yeroo computervrouw périodeSt ||, 
Iter     39, Loss: 12.196757, PPL: 198145.5938, Chunk_Size:   8, Batch_Size: 1, F: 46.93 ms, B: 133.08 msGT:  always disable the AutoRun feature for the | PD: ishwa yeroo computervrouw périodeStap it computer ||, 
Iter     40, Loss: 12.377359, PPL: 237366.2031, Chunk_Size:   8, Batch_Size: 1, F: 49.04 ms, B: 91.26 msGT:  the AutoRun feature for the drives as | PD:  computervrouw périodeStap it computer stayetter ||, 
Iter     41, Loss: 12.026430, PPL: 167113.7656, Chunk_Size:   8, Batch_Size: 1, F: 45.92 ms, B: 102.36 msGT: Run feature for the drives as CD-ROM | PD:  périodeStap it computer stayetter સહિત Bola ||, 
Iter     42, Loss: 11.918476, PPL: 150012.8281, Chunk_Size:   8, Batch_Size: 1, F: 55.72 ms, B: 104.40 msGT:  for the drives as CD-ROMs, | PD:  it computer stayetter સહિત Bola maatschappelijke  ||, 
Iter     43, Loss: 11.692295, PPL: 119646.2891, Chunk_Size:   8, Batch_Size: 1, F: 51.11 ms, B: 122.90 msGT:  drives as CD-ROMs, DVD-ROM | PD:  stayetter સહિત Bola maatschappelijke some està Bo ||, 
Iter     44, Loss: 11.503602, PPL: 99071.9922, Chunk_Size:   8, Batch_Size: 1, F: 42.50 ms, B: 97.09 msGT:  CD-ROMs, DVD-ROMs– | PD:  સહિત Bola maatschappelijke some està Bola maatsch ||, 
Iter     45, Loss: 11.370460, PPL: 86721.7109, Chunk_Size:   8, Batch_Size: 1, F: 42.50 ms, B: 102.52 msGT: s, DVD-ROMs– , downloading | PD:  maatschappelijke some està Bola maatschappelijker ||, 
Iter     46, Loss: 10.974335, PPL: 58357.0078, Chunk_Size:   8, Batch_Size: 1, F: 50.99 ms, B: 114.80 msGT:  DVD-ROMs– , downloading and running | PD:  estàs maatschappelijkeremember્થ Ancient running  ||, 
Iter     47, Loss: 11.267251, PPL: 78217.6797, Chunk_Size:   8, Batch_Size: 1, F: 44.02 ms, B: 89.89 msGT: s– , downloading and running emails or | PD: ,remember્થ Ancient running software Legs＠＼(^ ||, 
Iter     48, Loss: 11.189676, PPL: 72379.3438, Chunk_Size:   8, Batch_Size: 1, F: 53.05 ms, B: 117.11 msGT:  , downloading and running emails or IM attachment | PD:  нэг and running software Legs＠＼(^, қой ||, 
Iter     49, Loss: 11.174122, PPL: 71262.2344, Chunk_Size:   8, Batch_Size: 1, F: 53.94 ms, B: 121.00 msGT:  and running emails or IM attachments even from | PD:  running software Legs＠＼(^, қойvergence un ||, 
\n ||,   50, Loss: 11.074075, PPL: 64477.6992, Chunk_Size:   8, Batch_Size: 1, F: 48.34 ms, B: 110.82 msGT:  emails or IM attachments even from known persons | PD:  Legs＠＼(^, қойvergence un to ;
\n some væ ||, ss: 11.251462, PPL: 76992.3984, Chunk_Size:   8, Batch_Size: 1, F: 50.30 ms, B: 113.19 msGT:  IM attachments even from known persons, can | PD: , қойvergence un to ;
Iter     52, Loss: 11.279674, PPL: 79195.4062, Chunk_Size:   8, Batch_Size: 1, F: 55.24 ms, B: 133.47 msGT:  even from known persons, can put you | PD: vergence un to, some væ Download, ||, 
Iter     53, Loss: 11.125237, PPL: 67862.3359, Chunk_Size:   8, Batch_Size: 1, F: 46.62 ms, B: 163.47 msGT:  known persons, can put you in the | PD:  and, some væ Download, the drives ||, 
Iter     54, Loss: 11.512955, PPL: 100002.9297, Chunk_Size:   8, Batch_Size: 1, F: 40.26 ms, B: 100.20 msGT: , can put you in the nasty situation | PD:  and væ Download, the drives,律师 ||, 
Iter     55, Loss: 11.583208, PPL: 107281.1328, Chunk_Size:   8, Batch_Size: 1, F: 52.09 ms, B: 107.72 msGT:  put you in the nasty situation to have | PD:  Download, the drives,律师 infect 연결 ||, 
Iter     56, Loss: 11.644645, PPL: 114078.8047, Chunk_Size:   8, Batch_Size: 1, F: 41.13 ms, B: 106.39 msGT:  in the nasty situation to have an infected | PD:  the drives,律师 infect, USB and ||, 
Iter     57, Loss: 11.398760, PPL: 89211.0156, Chunk_Size:   8, Batch_Size: 1, F: 44.79 ms, B: 99.38 msGT:  nasty situation to have an infected computer. | PD: ,律师 infect, USB and, Download ||, 
Iter     58, Loss: 11.628620, PPL: 112265.3047, Chunk_Size:   8, Batch_Size: 1, F: 43.66 ms, B: 110.35 msGT:  to have an infected computer. Always when | PD:  infect, USB and, Download permitemidhi ||, 
Iter     59, Loss: 11.540890, PPL: 102835.8906, Chunk_Size:   8, Batch_Size: 1, F: 40.23 ms, B: 102.78 msGT:  an infected computer. Always when you deal | PD:  USB and, Download permitemidhi,CES ||, 
Iter     60, Loss: 11.420399, PPL: 91162.4766, Chunk_Size:   8, Batch_Size: 1, F: 53.18 ms, B: 115.77 msGT:  computer. Always when you deal with these | PD: . Download permitemidhi,CESs, ||, 
Iter     61, Loss: 11.637486, PPL: 113265.1094, Chunk_Size:   8, Batch_Size: 1, F: 47.05 ms, B: 102.40 msGT:  Always when you deal with these situations and | PD: 律师idhi, tos,, running ||, 
Iter     62, Loss: 11.435788, PPL: 92576.2734, Chunk_Size:   8, Batch_Size: 1, F: 47.38 ms, B: 117.34 msGT:  you deal with these situations and to prevent | PD: , tos,, running infect, ||, 
Iter     63, Loss: 10.658948, PPL: 42571.8242, Chunk_Size:   8, Batch_Size: 1, F: 54.64 ms, B: 123.46 msGT:  with these situations and to prevent computer inf | PD: s,, running infect,., ||, 
Iter     64, Loss: 10.661178, PPL: 42666.8516, Chunk_Size:   8, Batch_Size: 1, F: 54.34 ms, B: 94.39 msGT:  situations and to prevent computer infections, sc | PD: , running infect,., and– ||, 
Iter     65, Loss: 10.831853, PPL: 50607.3945, Chunk_Size:   8, Batch_Size: 1, F: 56.57 ms, B: 91.03 msGT:  to prevent computer infections, scan before to | PD:  infect,., and–, infect ||, 
Iter     66, Loss: 11.086628, PPL: 65292.2070, Chunk_Size:   8, Batch_Size: 1, F: 47.02 ms, B: 106.22 msGT:  computer infections, scan before to run.\n | PD: ., and–, infect,, ||, 
Iter     67, Loss: 11.720600, PPL: 123081.2734, Chunk_Size:   8, Batch_Size: 1, F: 56.20 ms, B: 110.57 msGT: , scan before to run.\nThe best | PD:  and–, infect,, to, ||, 
Iter     68, Loss: 11.430035, PPL: 92045.1641, Chunk_Size:   8, Batch_Size: 1, F: 48.30 ms, B: 99.77 msGT:  before to run.\nThe best scanners in | PD: , infect,, to,, the ||, 
Iter     69, Loss: 11.702387, PPL: 120859.8438, Chunk_Size:   8, Batch_Size: 1, F: 38.71 ms, B: 99.80 msGT:  run.\nThe best scanners in my opinion | PD: ,, to to, the,, ||, 
Iter     70, Loss: 11.716209, PPL: 122542.0312, Chunk_Size:   8, Batch_Size: 1, F: 45.46 ms, B: 119.50 msGT: The best scanners in my opinion are multi | PD:  to to, the,, to to ||, 
Iter     71, Loss: 11.793640, PPL: 132407.5781, Chunk_Size:   8, Batch_Size: 1, F: 50.12 ms, B: 110.07 msGT:  scanners in my opinion are multi-engine online | PD: , the,, to to to, ||, 
Iter     72, Loss: 12.102230, PPL: 180273.4375, Chunk_Size:   8, Batch_Size: 1, F: 50.40 ms, B: 103.16 msGT:  my opinion are multi-engine online scanners like | PD: ,, to to to,, to ||, 
Iter     73, Loss: 12.147478, PPL: 188617.8281, Chunk_Size:   8, Batch_Size: 1, F: 49.87 ms, B: 99.03 msGT:  are multi-engine online scanners like virust | PD:  to to to,, to to, ||, 
Iter     74, Loss: 11.867596, PPL: 142571.0312, Chunk_Size:   8, Batch_Size: 1, F: 57.73 ms, B: 118.88 msGT: -engine online scanners like virustotal.com | PD:  to, in to to, to, ||, 
Iter     75, Loss: 11.797224, PPL: 132882.9688, Chunk_Size:   8, Batch_Size: 1, F: 50.79 ms, B: 87.60 msGT:  scanners like virustotal.com or nov | PD:  in to to, to, to to ||, 
Iter     76, Loss: 11.761739, PPL: 128250.2578, Chunk_Size:   8, Batch_Size: 1, F: 39.91 ms, B: 105.78 msGT:  virustotal.com or novirust | PD:  to, to, to to to, ||, 
Iter     77, Loss: 11.753435, PPL: 127189.7266, Chunk_Size:   8, Batch_Size: 1, F: 54.81 ms, B: 116.41 msGT: otal.com or novirusthanks | PD:  to, to to to, to to ||, 
Iter     78, Loss: 11.908139, PPL: 148470.1562, Chunk_Size:   8, Batch_Size: 1, F: 46.55 ms, B: 123.99 msGT:  or novirusthanks.org. | PD:  to to to, to to to Always ||, 
Iter     79, Loss: 11.902709, PPL: 147666.1094, Chunk_Size:   8, Batch_Size: 1, F: 45.01 ms, B: 114.64 msGT: irusthanks.org. The links | PD:  to to to to to Always, to ||, 
Iter     80, Loss: 11.462250, PPL: 95058.6875, Chunk_Size:   8, Batch_Size: 1, F: 52.28 ms, B: 102.29 msGT: hanks.org. The links of these | PD:  to to to Always, to to situations ||, 
Iter     81, Loss: 10.916470, PPL: 55076.0156, Chunk_Size:   8, Batch_Size: 1, F: 56.52 ms, B: 118.60 msGT: .org. The links of these scanners and | PD:  to Always, to to situations in to ||, 
Iter     82, Loss: 10.840791, PPL: 51061.7422, Chunk_Size:   8, Batch_Size: 1, F: 54.23 ms, B: 129.59 msGT:  The links of these scanners and many more | PD: , to to situations in to to to ||, 
Iter     83, Loss: 10.482419, PPL: 35682.6211, Chunk_Size:   8, Batch_Size: 1, F: 39.59 ms, B: 121.26 msGT:  of these scanners and many more are on | PD:  to situations in to to to multi to ||, 
Iter     84, Loss: 10.992339, PPL: 59417.2070, Chunk_Size:   8, Batch_Size: 1, F: 54.95 ms, B: 103.78 msGT:  scanners and many more are on the home | PD:  in to to to multi to nasty to ||, 
Iter     85, Loss: 10.684254, PPL: 43662.8828, Chunk_Size:   8, Batch_Size: 1, F: 48.73 ms, B: 98.18 msGT:  many more are on the home page.\n | PD:  to to multi to nasty to toThe ||, 
Iter     86, Loss: 10.831717, PPL: 50600.4922, Chunk_Size:   8, Batch_Size: 1, F: 50.37 ms, B: 122.49 msGT:  are on the home page.\nThe main | PD:  multi to nasty to andThe best to ||, 
Iter     87, Loss: 11.256516, PPL: 77382.5391, Chunk_Size:   8, Batch_Size: 1, F: 39.59 ms, B: 117.84 msGT:  the home page.\nThe main three features | PD:  nasty to andThe best to to, ||, 
Iter     88, Loss: 10.766333, PPL: 47397.8711, Chunk_Size:   8, Batch_Size: 1, F: 40.29 ms, B: 122.03 msGT:  page.\nThe main three features of a | PD:  andThe best to and, these to ||, 
Iter     89, Loss: 11.137407, PPL: 68693.3203, Chunk_Size:   8, Batch_Size: 1, F: 41.16 ms, B: 120.02 msGT: The main three features of a virus are | PD:  best to the, these to and multi ||, 
Iter     90, Loss: 10.462204, PPL: 34968.5352, Chunk_Size:   8, Batch_Size: 1, F: 48.87 ms, B: 124.42 msGT:  three features of a virus are :\n– | PD:  the, these to scanners multi to and ||, 
Iter     91, Loss: 10.477895, PPL: 35521.5508, Chunk_Size:   8, Batch_Size: 1, F: 43.84 ms, B: 101.20 msGT:  of a virus are :\n– the replication | PD:  these to scanners multi to and nasty to ||, 
Iter     92, Loss: 10.281680, PPL: 29192.8789, Chunk_Size:   8, Batch_Size: 1, F: 52.33 ms, B: 87.54 msGT:  virus are :\n– the replication mechanism search | PD:  are multi to the nasty to,, ||, 
Iter     93, Loss: 10.486519, PPL: 35829.2109, Chunk_Size:   8, Batch_Size: 1, F: 40.97 ms, B: 114.82 msGT:  :\n– the replication mechanism search and find | PD:  to the nasty and,, to and ||, 
Iter     94, Loss: 11.165418, PPL: 70644.6562, Chunk_Size:   8, Batch_Size: 1, F: 51.84 ms, B: 104.04 msGT:  the replication mechanism search and find other e | PD:  nasty the,, to and to and ||, 
Iter     95, Loss: 10.984967, PPL: 58980.8008, Chunk_Size:   8, Batch_Size: 1, F: 50.86 ms, B: 97.74 msGT:  mechanism search and find other executable files  | PD:  the and to and to and are the ||, 
Iter     96, Loss: 10.785775, PPL: 48328.4258, Chunk_Size:   8, Batch_Size: 1, F: 52.29 ms, B: 107.13 msGT:  and find other executable files in your computer | PD:  to and and and are the the. ||, 
Iter     97, Loss: 11.075653, PPL: 64579.5547, Chunk_Size:   8, Batch_Size: 1, F: 50.67 ms, B: 105.98 msGT:  other executable files in your computer, check | PD:  and and are the the. and and ||, 
Iter     98, Loss: 10.478189, PPL: 35531.9844, Chunk_Size:   8, Batch_Size: 1, F: 56.54 ms, B: 122.69 msGT:  files in your computer, check if the | PD:  are the the. and and the the ||, 
Iter     99, Loss:  9.963793, PPL: 21243.2129, Chunk_Size:   8, Batch_Size: 1, F: 39.90 ms, B: 108.31 msGT:  your computer, check if the files are | PD:  the. and and the the are multi ||, 
Iter    100, Loss: 10.356126, PPL: 31449.1055, Chunk_Size:   8, Batch_Size: 1, F: 49.61 ms, B: 106.74 msGT: , check if the files are already infected | PD:  and and the the are multi and computer ||, 
Iter    101, Loss: 10.253814, PPL: 28390.6113, Chunk_Size:   8, Batch_Size: 1, F: 44.03 ms, B: 109.86 msGT:  if the files are already infected–it | PD:  the the are multi and computer the the ||, 
Iter    102, Loss: 10.655548, PPL: 42427.3359, Chunk_Size:   8, Batch_Size: 1, F: 41.77 ms, B: 113.13 msGT:  files are already infected–it has a | PD:  are multi and computer the the the virus ||, 
Iter    103, Loss: 11.097247, PPL: 65989.2500, Chunk_Size:   8, Batch_Size: 1, F: 58.21 ms, B: 98.07 msGT:  already infected–it has a special mechanism | PD:  and computer the the the virus the the ||, 
Iter    104, Loss: 11.029482, PPL: 61665.6289, Chunk_Size:   8, Batch_Size: 1, F: 43.23 ms, B: 134.51 msGT: –it has a special mechanism for that | PD:  the the the virus the the the the ||, 
Iter    105, Loss:  9.681482, PPL: 16018.2236, Chunk_Size:   8, Batch_Size: 1, F: 41.44 ms, B: 102.41 msGT:  has a special mechanism for that and if | PD:  the virus the the the the to the ||, 
Iter    106, Loss: 10.106520, PPL: 24502.2363, Chunk_Size:   8, Batch_Size: 1, F: 53.76 ms, B: 95.52 msGT:  special mechanism for that and if the file | PD:  the the the the to the the the ||, 
Iter    107, Loss: 10.354919, PPL: 31411.1875, Chunk_Size:   8, Batch_Size: 1, F: 52.27 ms, B: 102.16 msGT:  for that and if the file is clean | PD:  the the to the the the the the ||, 
Iter    108, Loss: 10.873328, PPL: 52750.4844, Chunk_Size:   8, Batch_Size: 1, F: 55.26 ms, B: 107.02 msGT:  and if the file is clean then append | PD:  and the the the the the the the ||, 
Iter    109, Loss: 10.719121, PPL: 45212.1406, Chunk_Size:   8, Batch_Size: 1, F: 50.53 ms, B: 102.93 msGT:  the file is clean then append itself to | PD:  the the the the the the the and ||, 
Iter    110, Loss: 10.113954, PPL: 24685.0625, Chunk_Size:   8, Batch_Size: 1, F: 47.09 ms, B: 132.51 msGT:  is clean then append itself to the file | PD:  the the the the the the the the ||, 
Iter    111, Loss:  9.897326, PPL: 19877.1387, Chunk_Size:   8, Batch_Size: 1, F: 45.19 ms, B: 103.19 msGT:  then append itself to the file. It | PD:  the the the the the the the the ||, 
Iter    112, Loss:  9.466305, PPL: 12917.0674, Chunk_Size:   8, Batch_Size: 1, F: 47.86 ms, B: 110.62 msGT:  itself to the file. It can append | PD:  the the the the the the the the ||, 
Iter    113, Loss:  9.779435, PPL: 17666.6719, Chunk_Size:   8, Batch_Size: 1, F: 58.43 ms, B: 107.48 msGT:  the file. It can append to the | PD:  the the the the the the the the ||, 
Iter    114, Loss:  9.763745, PPL: 17391.6484, Chunk_Size:   8, Batch_Size: 1, F: 51.31 ms, B: 95.23 msGT: . It can append to the front, | PD:  the the the the the the the and ||, 
Iter    115, Loss:  9.506526, PPL: 13447.1982, Chunk_Size:   8, Batch_Size: 1, F: 37.68 ms, B: 111.39 msGT:  can append to the front, middle or | PD:  the the the the the and the and ||, 
Iter    116, Loss:  8.904835, PPL: 7367.5078, Chunk_Size:   8, Batch_Size: 1, F: 49.32 ms, B: 96.45 msGT:  to the front, middle or end of | PD:  the the the and the the the a ||, 
Iter    117, Loss:  9.503574, PPL: 13407.5654, Chunk_Size:   8, Batch_Size: 1, F: 44.32 ms, B: 96.49 msGT:  front, middle or end of the executable | PD:  the and the the the a the and ||, 
Iter    118, Loss:  9.629364, PPL: 15204.7627, Chunk_Size:   8, Batch_Size: 1, F: 45.82 ms, B: 109.02 msGT:  middle or end of the executable file thus | PD:  the the the a the and the the ||, 
Iter    119, Loss:  8.038643, PPL: 3098.4055, Chunk_Size:   8, Batch_Size: 1, F: 55.66 ms, B: 121.11 msGT:  end of the executable file thus changing the | PD:  the the the and the the the the ||, 
Iter    120, Loss:  8.661781, PPL: 5777.8179, Chunk_Size:   8, Batch_Size: 1, F: 38.53 ms, B: 120.16 msGT:  the executable file thus changing the file size | PD:  the and the the the the the the ||, 
Iter    121, Loss:  8.958586, PPL: 7774.3545, Chunk_Size:   8, Batch_Size: 1, F: 44.96 ms, B: 102.81 msGT:  file thus changing the file size. This | PD:  the the the the the the the the ||, 
Iter    122, Loss:  8.034551, PPL: 3085.7520, Chunk_Size:   8, Batch_Size: 1, F: 50.71 ms, B: 99.65 msGT:  changing the file size. This is also | PD:  the the the the the the the the ||, 
